ts,event_strength,neg_boost,lambda,w_t
2019-03-04 15:00:00,0.0,1.0,0.7459441211052318,0.0
2019-03-04 16:00:00,0.0,1.0,0.8735515177651921,0.0
2019-03-04 17:00:00,0.0,1.0,1.0,0.0
2019-03-04 18:00:00,0.0,1.0,1.0,0.0
2019-03-04 19:00:00,0.0,1.0,1.0,0.0
2019-03-04 20:00:00,0.0,1.0,1.0,0.0
2019-03-04 21:00:00,0.0,1.0,1.0,0.0
2019-03-04 23:00:00,0.0,1.0,1.0,0.0
2019-03-05 00:00:00,0.0,1.0,1.0,0.0
2019-03-05 01:00:00,0.0,1.0,1.0,0.0
2019-03-05 02:00:00,0.0,1.0,1.0,0.0
2019-03-05 03:00:00,0.0,1.0,1.0,0.0
2019-03-05 04:00:00,0.0,1.0,1.0,0.0
2019-03-05 05:00:00,0.0,1.0,1.0,0.0
2019-03-05 06:00:00,0.0,1.0,1.0,0.0
2019-03-05 07:00:00,0.0,1.0,1.0,0.0
2019-03-05 08:00:00,0.0,1.0,1.0,0.0
2019-03-05 09:00:00,0.0,1.0,1.0,0.0
2019-03-05 10:00:00,0.0,1.0,1.0,0.0
2019-03-05 11:00:00,0.0,1.0,1.0,0.0
2019-03-05 12:00:00,0.0,1.0,1.0,0.0
2019-03-05 13:00:00,0.0,1.0,1.0,0.0
2019-03-05 14:00:00,0.0,1.0,1.0,0.0
2019-03-05 15:00:00,0.0,1.0,1.0,0.0
2019-03-05 16:00:00,0.0,1.0,1.0,0.0
2019-03-05 17:00:00,0.0,1.0,1.0,0.0
2019-03-05 18:00:00,0.0,1.0,1.0,0.0
2019-03-05 19:00:00,0.0,1.0,1.0,0.0
2019-03-05 20:00:00,0.0,1.0,1.0,0.0
2019-03-05 21:00:00,0.0,1.0,1.0,0.0
2019-03-05 23:00:00,0.0,1.0,1.0,0.0
2019-03-06 00:00:00,0.0,1.0,1.0,0.0
2019-03-06 01:00:00,0.0,1.0,1.0,0.0
2019-03-06 02:00:00,0.0,1.0,1.0,0.0
2019-03-06 03:00:00,0.0,1.0,1.0,0.0
2019-03-06 04:00:00,0.0,1.0,1.0,0.0
2019-03-06 05:00:00,0.0,1.0,1.0,0.0
2019-03-06 06:00:00,0.0,1.0,1.0,0.0
2019-03-06 07:00:00,0.0,1.0,1.0,0.0
2019-03-06 08:00:00,0.0,1.0,1.0,0.0
2019-03-06 09:00:00,0.0,1.0,1.0,0.0
2019-03-06 10:00:00,0.0,1.0,1.0,0.0
2019-03-06 11:00:00,0.0,1.0,1.0,0.0
2019-03-06 12:00:00,0.0,1.0,1.0,0.0
2019-03-06 13:00:00,0.0,1.0,1.0,0.0
2019-03-06 14:00:00,0.0,1.0,1.0,0.0
2019-03-06 15:00:00,0.0,1.0,1.0,0.0
2019-03-06 16:00:00,0.0,1.0,1.0,0.0
2019-03-06 17:00:00,0.0,1.0,1.0,0.0
2019-03-06 18:00:00,0.0,1.0,1.0,0.0
2019-03-06 19:00:00,0.0,1.0,1.0,0.0
2019-03-06 20:00:00,0.0,1.0,1.0,0.0
2019-03-06 21:00:00,0.0,1.0,1.0,0.0
2019-03-06 23:00:00,0.0,1.0,1.0,0.0
2019-03-07 00:00:00,0.0,1.0,1.0,0.0
2019-03-07 01:00:00,0.0,1.0,1.0,0.0
2019-03-07 02:00:00,0.0,1.0,1.0,0.0
2019-03-07 03:00:00,0.0,1.0,1.0,0.0
2019-03-07 04:00:00,0.0,1.0,1.0,0.0
2019-03-07 05:00:00,0.0,1.0,1.0,0.0
2019-03-07 06:00:00,0.0,1.0,1.0,0.0
2019-03-07 07:00:00,0.0,1.0,1.0,0.0
2019-03-07 08:00:00,0.0,1.0,1.0,0.0
2019-03-07 09:00:00,0.0,1.0,1.0,0.0
2019-03-07 10:00:00,0.0,1.0,1.0,0.0
2019-03-07 11:00:00,0.0,1.0,1.0,0.0
2019-03-07 12:00:00,0.0,1.0,1.0,0.0
2019-03-07 13:00:00,0.0,1.0,1.0,0.0
2019-03-07 14:00:00,0.0,1.0,1.0,0.0
2019-03-07 15:00:00,0.0,1.0,1.0,0.0
2019-03-07 16:00:00,0.0,1.0,1.0,0.0
2019-03-07 17:00:00,0.0,1.0,1.0,0.0
2019-03-07 18:00:00,0.0,1.0,1.0,0.0
2019-03-07 19:00:00,0.0,1.0,1.0,0.0
2019-03-07 20:00:00,0.0,1.0,1.0,0.0
2019-03-07 21:00:00,0.0,1.0,1.0,0.0
2019-03-07 23:00:00,0.0,1.0,1.0,0.0
2019-03-08 00:00:00,0.0,1.0,1.0,0.0
2019-03-08 01:00:00,0.0,1.0,1.0,0.0
2019-03-08 02:00:00,0.0,1.0,1.0,0.0
2019-03-08 03:00:00,0.0,1.0,1.0,0.0
2019-03-08 04:00:00,0.0,1.0,1.0,0.0
